2013,Florida State (AP BCS FWAA NFF USA),Jameis Winston
2012,Alabama (AP BCS FWAA NFF USA),Johnny Manziel
2011,Alabama (AP BCS FWAA NFF USA),Robert Griffin III
2010,Auburn (AP BCS FWAA NFF USA),Cam Newton
2009,Alabama (AP BCS FWAA NFF USA),Mark Ingram
2008,Florida (AP BCS FWAA NFF USA),Sam Bradford
2007,LSU (AP BCS FWAA NFF USA),Tim Tebow
2006,Florida (AP BCS FWAA NFF USA),Troy Smith
2005,Texas (AP BCS FWAA NFF USA),Reggie Bush
2004,USC (AP BCS FWAA NFF USA-ESPN),Matt Leinart
2003,LSU (BCS NFF USA-ESPN) USC (AP FWAA),Jason White
2002,Ohio State (AP BCS FWAA NFF USA-ESPN),Carson Palmer
2001,Miami (FL) (AP BCS FWAA NFF USA-ESPN),Eric Crouch
2000,Oklahoma (AP BCS FWAA NFF USA-ESPN),Chris Weinke
1999,Florida State (AP BCS FWAA NFF USA-ESPN),Ron Dayne
1998,Tennessee (AP BCS FWAA NFF USA-ESPN),Ricky Williams
